State/UT,Year,Estimated incidence
Jammu and Kashmir,2020,12726
Jammu and Kashmir,2021,13060
Jammu and Kashmir,2022,13395
Ladakh,2020,286
Ladakh,2021,294
Ladakh,2022,302
Himachal Pradesh,2020,8799
Himachal Pradesh,2021,8978
Himachal Pradesh,2022,9164
Punjab,2020,38636
Punjab,2021,39521
Punjab,2022,40435
Chandigarh,2020,1024
Chandigarh,2021,1053
Chandigarh,2022,1088
Uttaranchal,2020,11482
Uttaranchal,2021,11779
Uttaranchal,2022,12065
Haryana,2020,29219
Haryana,2021,30015
Haryana,2022,30851
Delhi,2020,25178
Delhi,2021,25969
Delhi,2022,26735
Rajasthan,2020,70987
Rajasthan,2021,72825
Rajasthan,2022,74725
Uttar Pradesh,2020,201319
Uttar Pradesh,2021,206088
Uttar Pradesh,2022,210958
Bihar,2020,103711
Bihar,2021,106435
Bihar,2022,109274
Sikkim,2020,445
Sikkim,2021,465
Sikkim,2022,496
Arunachal Pradesh,2020,1035
Arunachal Pradesh,2021,1064
Arunachal Pradesh,2022,1087
Nagaland,2020,1768
Nagaland,2021,1805
Nagaland,2022,1854
Manipur,2020,1899
Manipur,2021,2022
Manipur,2022,2097
Mizoram,2020,1837
Mizoram,2021,1919
Mizoram,2022,1985
Tripura,2020,2574
Tripura,2021,2623
Tripura,2022,2715
Meghalaya,2020,2879
Meghalaya,2021,2943
Meghalaya,2022,3025
Assam,2020,37880
Assam,2021,38834
Assam,2022,39787
West Bengal,2020,108394
West Bengal,2021,110972
West Bengal,2022,113581
Jharkhand,2020,33961
Jharkhand,2021,34910
Jharkhand,2022,35860
Orissa,2020,50692
Orissa,2021,51829
Orissa,2022,52960
Chhattisgarh,2020,27828
Chhattisgarh,2021,28529
Chhattisgarh,2022,29253
Madhya Pradesh,2020,77888
Madhya Pradesh,2021,79871
Madhya Pradesh,2022,81901
Gujarat,2020,69660
Gujarat,2021,71507
Gujarat,2022,73382
Daman,2020,124
Daman,2021,135
Daman,2022,150
Dadra and Nagar Haveli,2020,206
Dadra and Nagar Haveli,2021,219
Dadra and Nagar Haveli,2022,238
Maharashtra,2020,116121
Maharashtra,2021,118906
Maharashtra,2022,121717
Telangana,2020,47620
Telangana,2021,48775
Telangana,2022,49983
Andhra Pradesh,2020,70424
Andhra Pradesh,2021,71970
Andhra Pradesh,2022,73536
Karnataka,2020,85968
Karnataka,2021,88126
Karnataka,2022,90349
Goa,2020,1618
Goa,2021,1652
Goa,2022,1700
Lakshadweep,2020,27
Lakshadweep,2021,28
Lakshadweep,2022,28
Kerala,2020,57155
Kerala,2021,58139
Kerala,2022,59143
Tamil Nadu,2020,88866
Tamil Nadu,2021,91184
Tamil Nadu,2022,93536
Pondicherry,2020,1577
Pondicherry,2021,1623
Pondicherry,2022,1679
Andaman and Nicobar Islands,2020,366
Andaman and Nicobar Islands,2021,380
Andaman and Nicobar Islands,2022,393
